LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
772;353140200;Świnoujście;Bałtyk (0);1946;53 55 24;14 14 32;4
773;353140205;Szczecin;Odra (1);1948;53 23 43;14 37 22;1
774;353150210;Resko-Smólsko;Rega (42);1945;53 45 49;15 23 36;52
775;353160213;Barwice;Parsęta (44);;53 45 11;16 21 14;133
776;353160215;Szczecinek;Gwda (1886);1946;53 43 04;16 44 48;139
777;353160230;Piła;Gwda (1886);1970;53 07 50;16 44 50;72
778;353170235;Chojnice;Brda (292);1945;53 42 55;17 31 57;164
779;353180250;Toruń;Wisła (2);1945;53 02 31;18 35 44;69
780;353180255;Kwidzyn;Liwa (522);2024;53 44 03;18 52 18;
781;353200270;MŁAWA;Wkra (268);1945;53 06 15;20 21 40;147
782;353200272;OLSZTYN;Łyna (584);1948;53 46 07;20 25 17;133
783;353210280;MIKOŁAJKI;Jez. Mikołajskie (26439);1952;53 47 21;21 35 23;127
784;353210285;OSTROŁĘKA;Narew (26);1946;53 03 57;21 32 02;94
785;353230295;BIAŁYSTOK;Biała (26168);1945;53 06 26;23 09 44;148
786;354150100;Kołobrzeg-Dźwirzyno;Jez. Resko Przymorskie (43219);1946;54 09 30;15 23 20;4
787;354160105;Koszalin;Dzierżęcinka (45614);1945;54 12 16;16 09 19;33
788;354160115;Ustka;Bałtyk (0);1946;54 35 18;16 51 15;3
789;354170120;Łeba;Łeba (476);1947;54 45 13;17 32 05;1
790;354170125;Lębork;Łeba (476);1945;54 33 11;17 45 25;39
791;354180135;Hel;Bałtyk (0);1920;54 36 13;18 48 43;1
792;354180155;Gdańsk-Świbno;Wisła (2);1948;54 20 01;18 56 04;7
793;354190160;Elbląg-Milejewo;Elbląg (54);1946;54 13 24;19 32 37;189
794;354210185;KĘTRZYN;Guber (5848);1945;54 04 02;21 22 00;107
795;354220195;SUWAŁKI;Czarna Hańcza (64);1946;54 07 51;22 56 56;184
